year,mean_ssa,median_ssa,n_drought,n_extreme_drought,n_wet,n_extreme_wet,pct_drought,pct_extreme_drought
1951,-0.6267324752468285,-0.6960658356627142,969,447,557,8,63.499344692005245,29.29226736566186
1952,0.07946380529429689,0.028041340454407135,327,17,1199,128,21.428571428571427,1.1140235910878113
1953,0.10942887163526134,0.02018546296398923,509,127,1017,258,33.35517693315859,8.322411533420707
1954,-0.016324253327100694,-0.0966826017804224,433,90,1093,142,28.37483617300131,5.897771952817824
1955,0.6060754213467944,0.6176226037474422,233,70,1293,485,15.26867627785059,4.587155963302752
1956,0.9473512216934827,0.9547724409424687,45,2,1481,725,2.948885976408912,0.1310615989515072
1957,0.08495892269284726,0.011901059733550665,420,126,1106,215,27.522935779816514,8.256880733944955
1958,0.40978342599829537,0.21404361790846133,242,61,1284,373,15.858453473132371,3.99737876802097
1959,0.26451057685178797,0.216186095407344,264,99,1262,240,17.300131061598954,6.487549148099607
1960,0.40872497122401524,0.2870684350853027,142,18,1384,273,9.305373525557012,1.1795543905635648
1961,1.0577897162417798,1.209796076969899,173,57,1353,837,11.336828309305373,3.7352555701179555
1962,0.2095664735213185,0.1214267062339426,219,22,1307,213,14.35124508519004,1.4416775884665793
1963,0.23425316801998733,0.10924453586864268,187,1,1339,213,12.254259501965924,0.0655307994757536
1964,0.2539239183025003,0.226051222878851,276,15,1250,222,18.086500655307994,0.9829619921363041
1965,-0.6156211845899738,-0.727393985887075,950,452,576,38,62.254259501965926,29.61992136304063
1966,-0.7904497146935053,-0.9601084535236644,1145,686,381,55,75.03276539973788,44.95412844036697
1967,0.19268086951134897,0.09261487626910976,480,174,1046,349,31.45478374836173,11.402359108781127
1968,-0.21620302310848366,-0.3517339337646128,585,102,941,92,38.33551769331586,6.684141546526867
1969,0.24698422539796708,0.2762689789990198,217,33,1309,193,14.220183486238533,2.1625163826998692
1970,-0.09817552850723155,-0.15723317897853886,426,51,1100,75,27.916120576671034,3.3420707732634334
1971,0.9665978615549743,0.9190569996682079,73,2,1453,727,4.783748361730013,0.1310615989515072
1972,-0.7019431480307536,-0.7943027470150692,1062,452,464,23,69.59370904325033,29.61992136304063
1973,0.44470534564210457,0.19091422113696396,336,108,1190,368,22.018348623853214,7.077326343381389
1974,-0.18467307615397868,-0.3215870966004942,592,189,934,152,38.79423328964614,12.385321100917432
1975,0.6980249819710648,0.6989381665352039,154,45,1372,572,10.091743119266056,2.948885976408912
1976,-0.008686819468731889,-0.10318375078835867,355,89,1171,146,23.26343381389253,5.83224115334207
1977,-0.02398914497046703,-0.1995180388519341,508,149,1018,160,33.28964613368283,9.764089121887288
1978,0.7120257716260412,0.6315785091734866,75,8,1451,552,4.91480996068152,0.5242463958060288
1979,-0.8128651509502889,-0.7982680978471378,1094,583,432,10,71.69069462647444,38.20445609436435
1980,0.20211763173944916,-0.08579949533583532,520,105,1006,337,34.07601572739188,6.8807339449541285
1981,-0.22918619828499381,-0.5598498001980408,791,305,735,172,51.8348623853211,19.986893840104848
1982,-0.18375125148048918,-0.31210914590095834,627,267,899,150,41.08781127129751,17.49672346002621
1983,0.2435718099258596,0.27792212917291054,308,100,1218,267,20.18348623853211,6.553079947575361
1984,0.2772465379199131,0.09312853340485949,305,105,1221,274,19.986893840104848,6.8807339449541285
1985,0.4075232020991469,0.38880010320959524,226,29,1300,395,14.809960681520314,1.9003931847968545
1986,-0.03029234800707394,-0.14304839435296046,500,93,1026,185,32.765399737876805,6.094364351245085
1987,-0.05530730719532321,-0.43723955043294294,733,401,793,297,48.034076015727386,26.277850589777195
1988,-0.03341547031674742,-0.17229002139045768,524,74,1002,148,34.338138925294885,4.849279161205767
1989,-0.4856729192848925,-0.677602696246626,899,372,627,62,58.91218872870249,24.37745740498034
1990,0.26979359100699085,0.23478396183963102,203,47,1323,229,13.302752293577983,3.079947575360419
1991,-0.21871591983753136,-0.1637895696067041,500,215,1026,59,32.765399737876805,14.089121887287027
1992,-0.49416605030722455,-0.4968505337227507,754,413,772,63,49.41022280471822,27.06422018348624
1993,-0.23000804165827346,-0.23585485716550855,439,95,1087,20,28.768020969855833,6.225425950196593
1994,0.23114805291704035,0.21282597720757845,370,180,1156,331,24.246395806028833,11.795543905635649
1995,0.1868465395625059,0.030403835194458915,330,54,1196,187,21.62516382699869,3.5386631716906947
1996,0.2904330516491701,0.1409627740787964,235,27,1291,306,15.399737876802098,1.7693315858453473
1997,-0.3284113576317289,-0.4092019002382342,688,289,838,111,45.085190039318476,18.938401048492793
1998,-0.09622917453169581,-0.30406173206165016,571,131,955,165,37.418086500655306,8.584534731323721
1999,0.3764297142841476,0.18970679914470592,355,65,1171,376,23.26343381389253,4.259501965923985
2000,-0.1719109531932116,-0.3054973235795182,626,143,900,119,41.02228047182175,9.370904325032765
2001,-0.13356001348977004,-0.2611297010231661,602,162,924,95,39.44954128440367,10.615989515072084
2002,-0.5339099952753118,-0.7151315031917567,958,480,568,65,62.77850589777195,31.45478374836173
2003,0.2947706563171398,0.20314642733902688,367,67,1159,343,24.049803407601573,4.3905635648754915
2004,-0.4006459125216563,-0.5623859320753382,827,261,699,49,54.19397116644823,17.10353866317169
2005,-0.5930893341368246,-0.739356673455694,1024,462,502,71,67.10353866317169,30.275229357798167
2006,-0.4409181849438043,-0.7773645828186786,923,537,603,170,60.484927916120576,35.19003931847969
2007,-0.5424528625825888,-0.8833131378649892,975,637,551,190,63.892529488859765,41.74311926605505
2008,-0.22228077691043596,-0.314784707712345,602,194,924,89,39.44954128440367,12.7129750982962
2009,-0.9201838388395542,-0.9402744429882167,1285,644,241,0,84.20707732634338,42.201834862385326
2010,-0.32993896237352016,-0.6404711177745681,833,532,693,219,54.58715596330275,34.862385321100916
2011,0.4217633864538148,0.48547951493381863,187,65,1339,320,12.254259501965924,4.259501965923985
2012,0.049805293676989784,0.02625496745030039,361,119,1165,145,23.656618610747053,7.79816513761468
2013,0.4764840426739537,0.37743960811826016,281,115,1245,465,18.41415465268676,7.536041939711664
2014,-0.8646998470349538,-0.9204047080577578,1124,659,402,14,73.65661861074705,43.18479685452162
2015,-0.8131823536084523,-1.0295389609248762,1119,792,407,68,73.32896461336829,51.900393184796854
2016,0.17092878870763475,-0.012425128536335355,413,163,1113,305,27.06422018348624,10.681520314547837
2017,-0.20794595832664967,-0.4285268620879571,722,368,804,216,47.313237221494106,24.11533420707733
2018,-0.1383892274077965,-0.3379258644565468,573,204,953,163,37.54914809960682,13.368283093053734
2019,0.8753887521289393,0.6380206888642591,276,55,1250,644,18.086500655307994,3.604193971166448
2020,0.34222270256354953,0.023485263073294817,423,52,1103,376,27.719528178243774,3.4076015727391877
2021,0.522152615709839,0.3644140949636452,335,126,1191,496,21.95281782437746,8.256880733944955
2022,-0.7715481396341041,-0.9204632321204578,1145,682,381,101,75.03276539973788,44.69200524246396
