dam_name,dam_lat,dam_lon,state,local_river,capacity_mcm,YearOfCompletion,YearSource,assigned_seg_id,assigned_river,match_method,snap_dist_km
Kharagpur Lake Dam,25.1358,86.525,Bihar,Mani,16.51,1876.0,Wikipedia,5100.0,Ganga,tier3_nearest,6.56
Nagi Dam,24.8208,86.3997,Bihar,Nagi,10.8,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",5136.0,Ulai,tier3_nearest,9.5
Kohira Dam,24.9808,83.4908,Bihar,Kohira,28.33,1962.0,"NRLD_2019 (score=0.60, method=first_word_match)",3967.0,Karmanasa,tier3_nearest,21.41
Amrity Dam,24.8892,86.1022,Bihar,Amrity,4.92,1965.0,"NRLD_2019 (score=0.60, method=first_word_match)",5134.0,Kiul,tier3_nearest,7.67
Badua Dam,24.8878,86.6458,Bihar,Badua,128.34,1965.0,"NRLD_2019 (score=0.60, method=first_word_match)",5100.0,Ganga,tier3_nearest,13.81
Srikhandi Dam,24.8925,86.09,Bihar,Srikhandi,4.92,1965.0,"NRLD_2019 (score=0.60, method=first_word_match)",5134.0,Kiul,tier3_nearest,8.11
Kolmahadeo Dam,24.7111,85.6617,Bihar,Kolmahadeo,5.7,1966.0,Wikipedia,5155.0,Sakri,tier3_nearest,8.27
Chandan Dam,24.6756,86.9225,Bihar,Chandan,157.23,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",2977.0,Chandan,tier1_existing,0.374181
Jalkund Dam,25.235,86.5358,Bihar,Jalkund,3.085,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",5100.0,Ganga,tier3_nearest,7.49
Morway Dam,25.1325,86.2192,Bihar,Morway,14.57,1969.0,"NRLD_2019 (score=0.60, method=first_word_match)",5139.0,Kiul,tier3_nearest,8.14
Satgharwa (N.F) Dam,24.7281,85.0131,Bihar,Satgharwa,1.83,1976.0,Wikipedia,4556.0,Lilajan,tier1_existing,0.07214999999999999
Job Dam,24.68,85.5656,Bihar,Job,12.0,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",5146.0,Panchane,tier3_nearest,13.03
Kailash Ghati Dam,24.8933,85.9256,Bihar,Kailash Ghati,3.571,1980.0,Wikipedia,5165.0,Harohar,tier3_nearest,15.01
Nakti Dam,24.8531,86.4433,Bihar,Nakti,13.97,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",5136.0,Ulai,tier3_nearest,13.47
Taracol (N.F) Dam,24.8361,85.9956,Bihar,Tarakol,1.049,1980.0,Wikipedia,5134.0,Kiul,tier3_nearest,7.79
Baskund Dam,25.0683,86.2167,Bihar,Baskund,1.23,1984.0,"NRLD_2019 (score=0.60, method=first_word_match)",5139.0,Kiul,tier3_nearest,5.26
Upper Badua (N.F) Dam,24.8872,86.6458,Bihar,Badua,4.52,1985.0,Wikipedia,5100.0,Ganga,tier3_nearest,13.87
Belharna Dam,24.8528,86.5608,Bihar,Belharna,15.56,1987.0,"NRLD_2019 (score=0.60, method=first_word_match)",5100.0,Ganga,tier3_nearest,17.71
Phulwaria Dam,24.5961,85.4928,Bihar,Tilaiya,59.34,1988.0,"NRLD_2019 (score=0.60, method=first_word_match)",5146.0,Panchane,tier3_nearest,13.56
Anjan Dam,25.0339,86.2956,Bihar,Anjan,26.68,1989.0,"NRLD_2019 (score=0.60, method=first_word_match)",5137.0,Nakti,tier3_nearest,8.14
Orhni Dam,24.8236,86.8122,Bihar,Orhni,51.56,2000.0,"NRLD_2019 (score=0.60, method=first_word_match)",5277.0,Chilkara,tier3_nearest,9.94
Bilashi Dam,24.9339,86.8547,Bihar,Bilasi,32.57,2001.0,"NRLD_2019 (score=0.60, method=first_word_match)",5109.0,Chandan,tier3_nearest,6.33
Upper Kiul Dam,24.8094,86.0711,Bihar,Kiul,98.103,2004.0,"NRLD_2019 (score=0.60, method=first_word_match)",5134.0,Kiul,tier1_existing,0.07214999999999999
Barnar Dam,24.6236,86.3242,Bihar,Barnar,80.21,2005.0,Wikipedia,2978.0,Barnar,tier1_existing,0.018315
Durgawati Dam,24.8461,83.7231,Bihar,Durgawati,287.7,2014.0,"NRLD_2019 (score=0.60, method=first_word_match)",3967.0,Karmanasa,tier1_existing,0.039293999999999996
Sindhwarni Dam,25.1308,86.625,Bihar,Mani,50.06,,Not found,5100.0,Ganga,tier1_existing,1.435785
Kharjir (Khajuri) Dam,23.9325,83.5075,Chhattisgarh,Local,15.13,1974.0,Wikipedia,4602.0,Kanhar,tier3_nearest,3.51
Jagannathpur T. Dam,23.3706,83.1953,Chhattisgarh,Local,4.116,1976.0,"NRLD_2019 (score=0.60, method=first_word_match)",,,unassigned,43.88
Dhab Dam,24.0417,83.3822,Chhattisgarh,Local Nalla,0.155,1978.0,"NRLD_2019 (score=0.60, method=first_word_match)",4602.0,Kanhar,tier3_nearest,5.07
Khunal(Khunsi) T Dam,23.5531,83.2125,Chhattisgarh,Local,4.74,1980.0,"NRLD_2019 (score=0.60, method=first_word_match)",,,unassigned,26.26
Pathargawan Dam,23.4217,82.5944,Chhattisgarh,Local,1.03,2002.0,"NRLD_2019 (score=0.80, method=pic_srno_match)",,,unassigned,36.05
