seg_id,river_name,tier,n_upstream_dams,total_upstream_capacity_mcm,nearest_upstream_dam,nearest_dam_dist_km,nearest_dam_year,dams_before_1991,dams_after_1991
1429,Padma,1,32,2481.03,Torai Dam,325.84,,24,4
1445,Padma,1,32,2481.03,Torai Dam,268.56,,24,4
1495,Padma,1,0,0.0,,,,0,0
1496,Padma,1,0,0.0,,,,0,0
1497,Padma,1,32,2481.03,Torai Dam,304.33,,24,4
1523,Padma,1,32,2481.03,Torai Dam,178.24,,24,4
1525,Padma,1,0,0.0,,,,0,0
1526,Padma,1,0,0.0,,,,0,0
1527,Padma,1,32,2481.03,Torai Dam,237.77,,24,4
1528,Padma,1,0,0.0,,,,0,0
1530,Padma,1,0,0.0,,,,0,0
1548,Punarbhaba,99,0,0.0,,,,0,0
1549,Punarbhaba,99,0,0.0,,,,0,0
1551,Padma,1,32,2481.03,Torai Dam,96.2,,24,4
1552,Padma,1,0,0.0,,,,0,0
1553,Padma,1,32,2481.03,Torai Dam,121.8,,24,4
1560,Tangan,99,0,0.0,,,,0,0
1562,Punarbhaba,99,0,0.0,,,,0,0
2480,Kevai,99,1,3.08,Latar Dam,14.92,1976.0,1,0
2481,Son,99,0,0.0,,,,0,0
2807,Mohana,99,1,12.34,Buksa Dam,4.8,1982.0,1,0
2910,Padma,1,0,0.0,,,,0,0
2912,Padma,1,0,0.0,,,,0,0
2913,Ichamati,99,0,0.0,,,,0,0
2914,Kalindi,99,0,0.0,,,,0,0
2915,Ichamati,99,0,0.0,,,,0,0
2916,Ichamati,99,0,0.0,,,,0,0
2918,Ichamati,99,0,0.0,,,,0,0
2919,Mathabanga,99,0,0.0,,,,0,0
2920,Padma,1,0,0.0,,,,0,0
2921,Padma,1,0,0.0,,,,0,0
2922,Ichamati,99,0,0.0,,,,0,0
2928,Padma,1,0,0.0,,,,0,0
2929,Padma,1,0,0.0,,,,0,0
2930,Mathabanga,99,0,0.0,,,,0,0
2931,Bhairab,99,0,0.0,,,,0,0
2933,Padma,1,0,0.0,,,,0,0
2954,Gumani,99,2,278.89,Sunder Dam,18.92,1976.0,1,0
2957,Gumani,99,2,278.89,Torai Dam,25.81,,1,0
2959,Ganga,1,30,2202.14,Chandan Dam,106.31,1968.0,23,4
2960,Ganga,1,32,2481.03,Torai Dam,43.42,,24,4
2971,Padma,1,0,0.0,,,,0,0
2973,Padma,1,32,2481.03,Torai Dam,62.08,,24,4
2977,Chandan,99,1,157.23,Chandan Dam,3.6,1968.0,1,0
