seg_id,river_name,tier,intervention_year,n_upstream_dams,total_upstream_capacity_mcm,pre_years,post_years,pre_mean_m3s,post_mean_m3s,pre_cv,post_cv,pct_change_post_vs_pre,mann_whitney_U,p_value,dam_effect,a6_category,a6_severity
2480,Kevai,99,1976,1,3.08,25,47,22.5353,23.132,0.2297,0.3493,2.65,595.0,0.934003322151419,No Significant Change,Stable,Stable
2807,Mohana,99,1982,1,12.34,31,41,11.2197,12.0023,0.3644,0.4022,6.97,583.0,0.5542721060212299,No Significant Change,Stable,Stable
2954,Gumani,99,1976,2,278.89,25,47,11.5552,12.9779,0.3601,0.4269,12.31,516.0,0.4010284082015607,No Significant Change,Stable,Stable
2959,Ganga,1,1968,30,2202.14,17,55,12543.5981,11663.4017,0.1947,0.2061,-7.02,583.0,0.12730168026192618,No Significant Change,Stable,Stable
2977,Chandan,99,1968,1,157.23,17,55,10.1472,11.8536,0.455,0.4033,16.82,360.0,0.15597068476287115,No Significant Change,Stable,Stable
2978,Barnar,99,2005,1,80.21,54,18,11.6211,8.5426,0.4273,0.4569,-26.49,692.0,0.007530194545988157,Significant Reduction,Stable,Stable
3287,Yamuna,99,1972,3,602.62,21,51,201.3339,126.5409,0.2474,0.4481,-37.15,929.0,1.1224566686662617e-06,Significant Reduction,Drying,Moderate Drying
3288,Yamuna,99,1972,3,602.62,21,51,228.4493,143.944,0.2384,0.434,-36.99,934.0,8.189286769939153e-07,Significant Reduction,Drying,Moderate Drying
3319,Tons,99,1972,1,8.93,21,51,75.7189,50.4631,0.3628,0.5268,-33.35,840.0,0.0001657242083977225,Significant Reduction,Drying,Moderate Drying
3323,Bhagirathi,99,1984,1,0.6,33,39,77.4295,71.4855,0.3833,0.4718,-7.68,717.0,0.40936206647970386,No Significant Change,Stable,Stable
3333,Chambal,99,1957,152,10195.82,6,66,803.5173,817.8647,0.475,0.5123,1.79,206.0,0.8815880356767472,No Significant Change,Stable,Stable
3334,Chambal,99,1957,154,10251.52,6,66,813.6628,832.7745,0.4762,0.507,2.35,203.0,0.9287918474186981,No Significant Change,Stable,Stable
3335,Chambal,99,1957,226,12992.0,6,66,1047.3501,1049.717,0.5069,0.4928,0.23,206.0,0.8815880356767472,No Significant Change,Stable,Stable
3339,Chambal,99,1990,229,13023.39,39,33,1120.629,1133.5506,0.4478,0.5108,1.15,659.0,0.8653845001655556,No Significant Change,Stable,Stable
3347,Manki,99,1982,1,2.33,31,41,4.6285,4.161,0.5005,0.6164,-10.1,726.0,0.3060591599066024,No Significant Change,Stable,Stable
3348,Kuno,99,1982,1,2.33,31,41,9.1515,8.4785,0.5169,0.5989,-7.35,700.0,0.46671105099226584,No Significant Change,Stable,Stable
3355,Sesar,99,1957,1,34.97,6,66,1.8324,1.6978,0.7552,0.6851,-7.35,201.0,0.9604050228000827,No Significant Change,Drying,Moderate Drying
3358,Parbati,99,1963,1,115.17,12,60,4.0805,2.5434,0.6181,0.6837,-37.67,502.0,0.03251207519303151,Significant Reduction,Drying,Severe Drying
3363,Pahuj,99,1985,2,5.03,34,38,9.5114,5.147,0.4224,0.5168,-45.89,1044.0,7.336502714505525e-06,Significant Reduction,Drying,Severe Drying
3364,Parbati,99,1963,1,115.17,12,60,7.281,4.5572,0.5959,0.6745,-37.41,506.0,0.027913686222595335,Significant Reduction,Drying,Severe Drying
3365,Gambhir,99,2006,1,54.95,55,17,5.7463,4.2211,0.6771,0.6376,-26.54,565.0,0.1983871006178366,No Significant Change,Drying,Moderate Drying
3369,Parbati,99,1963,1,115.17,12,60,14.7809,8.92,0.5255,0.6177,-39.65,531.0,0.009987956230250904,Significant Reduction,Drying,Moderate Drying
3375,Pahuj,99,1988,4,76.89,37,35,28.629,18.2234,0.4836,0.568,-36.35,933.0,0.0013227780367349447,Significant Reduction,Drying,Severe Drying
