river_name,n_segments,max_upstream_dams,mean_upstream_dams,max_capacity_mcm,n_drying,n_stable,n_wetting,mean_pct_change,median_pct_change,mean_tau,pct_drying
Aami,2,0,0.0,0.0,0,2,0,-21.952127531369648,-21.952127531369648,-0.14906103286384975,0.0
Adari,1,0,0.0,0.0,0,1,0,-4.985151484837312,-4.985151484837312,-0.0406885758998435,0.0
Aerma,1,3,3.0,30.49,0,1,0,-7.823173007603831,-7.823173007603831,-0.0892018779342723,0.0
Afsarha,1,0,0.0,0.0,0,1,0,-25.48621518366867,-25.48621518366867,-0.1564945226917058,0.0
Aglad,1,0,0.0,0.0,1,0,0,-22.842179289145054,-22.842179289145054,-0.2918622848200313,100.0
Ahar,1,3,3.0,180.03,0,1,0,18.548437338629192,18.548437338629192,0.054773082942097,0.0
Aheli,1,0,0.0,0.0,0,1,0,14.198637260095756,14.198637260095756,0.0086071987480438,0.0
Ahu,6,9,4.833333333333333,148.87,0,6,0,9.755579599767797,9.825011322589656,0.05033907146583197,0.0
Ajmar,1,6,6.0,105.12,0,1,0,-10.358997658940474,-10.358997658940474,-0.1111111111111111,0.0
Ajnal,1,5,5.0,10.36,0,1,0,-15.81823267109635,-15.81823267109635,-0.1291079812206572,0.0
Alaknanda,6,6,3.0,442.81,0,6,0,13.135984135533981,16.634423794295063,0.08176838810641628,0.0
Alnia,1,1,1.0,43.72,0,1,0,8.95267248882861,8.95267248882861,-0.0078247261345852,0.0
Amanat,3,2,2.0,137.62,0,3,0,-12.467076464927715,-12.52838539335662,-0.10589462702138752,0.0
Amjar,1,2,2.0,63.56,0,1,0,11.733380379005489,11.733380379005489,0.0039123630672926,0.0
Andheri,4,1,0.5,30.8,0,4,0,7.386929312988986,6.379320182046984,-0.021909233176838776,0.0
Ansar,1,0,0.0,0.0,0,1,0,8.590180903704344,8.590180903704344,0.0273865414710485,0.0
Asan,2,4,2.5,115.86,2,0,0,-31.11016390411846,-31.11016390411846,-0.3024256651017214,100.0
Ashamati,1,2,2.0,4.14,0,1,0,-7.146724539504171,-7.146724539504171,-0.0672926447574334,0.0
Ashmi,1,0,0.0,0.0,1,0,0,-15.446290063564112,-15.446290063564112,-0.1971830985915492,100.0
Asrawal,1,1,1.0,35.43,0,1,0,27.741832298104583,27.741832298104583,0.1236306729264475,0.0
Auranga,2,1,0.5,0.0,0,2,0,-4.969109463585993,-4.969109463585993,-0.06220657276995305,0.0
Babai,3,0,0.0,0.0,0,3,0,-18.472413567564512,-18.981188692343967,-0.11241523213354197,0.0
Baen,1,2,2.0,17.28,0,1,0,2.5199102722381723,2.5199102722381723,-0.0367762128325508,0.0
Bagad,1,0,0.0,0.0,1,0,0,-13.109870652183474,-13.109870652183474,-0.2097026604068857,100.0
Baghain,3,3,1.6666666666666667,17.72,0,3,0,36.060151642777306,42.12272590749702,0.11111111111111106,0.0
Bagmati,13,0,0.0,0.0,0,13,0,-1.7049592536645055,-0.7381779099779441,0.015468881666064764,0.0
Bahalla,1,0,0.0,0.0,1,0,0,-35.70991986232704,-35.70991986232704,-0.3928012519561815,100.0
Bahmnai,1,1,1.0,5.24,0,1,0,12.545233582639014,12.545233582639014,0.0798122065727699,0.0
Bajyan,1,1,1.0,28.4,0,1,0,-15.040843909418754,-15.040843909418754,-0.1134585289514867,0.0
Bakalya,1,0,0.0,0.0,0,1,0,-3.0872901673508277,-3.0872901673508277,0.0062597809076682,0.0
Bakra,1,0,0.0,0.0,0,1,0,-11.31096721391818,-11.31096721391818,-0.1517996870109546,0.0
Bal Ganga,1,0,0.0,0.0,0,1,0,15.006526882630927,15.006526882630927,0.0852895148669796,0.0
Balan,3,0,0.0,0.0,0,3,0,-6.116392563899041,-6.496328100083621,-0.010172143974960834,0.0
Balasan,2,0,0.0,0.0,0,1,1,9.409181426349736,9.409181426349736,0.17370892018779338,0.0
Baleti,1,0,0.0,0.0,0,1,0,-13.80327319274732,-13.80327319274732,-0.1165884194053208,0.0
Bamni,1,0,0.0,0.0,1,0,0,-25.691147356966233,-25.691147356966233,-0.2300469483568075,100.0
Bamnidai,1,0,0.0,0.0,0,1,0,16.531042295816672,16.531042295816672,0.0203442879499217,0.0
Banas,29,72,24.275862068965516,2740.48,0,29,0,10.109718763619373,6.284329356999978,0.019642760779234804,0.0
Banganga,14,6,1.7857142857142858,130.75,3,11,0,-10.33337240851532,-10.242658013155886,-0.10876369327073547,21.4
Banki,1,0,0.0,0.0,1,0,0,-20.91473263900772,-20.91473263900772,-0.2355242566510172,100.0
Banne,3,4,2.3333333333333335,178.8,0,3,0,-15.61717930341814,-15.827452576451275,-0.15727699530516429,0.0
Bansi,1,0,0.0,0.0,1,0,0,-34.89665267300564,-34.89665267300564,-0.2480438184663536,100.0
Barah,4,2,1.5,32.58,3,1,0,-8.099574560995661,-10.058309045757648,-0.166471048513302,75.0
Barhki,1,1,1.0,2.31,0,1,0,-11.456775753081889,-11.456775753081889,-0.1118935837245696,0.0
Barnar,1,1,1.0,80.21,0,1,0,-2.2314351215378245,-2.2314351215378245,-0.0172143974960876,0.0
Bata,1,0,0.0,0.0,1,0,0,-9.865032882826249,-9.865032882826249,-0.1901408450704225,100.0
Batane,1,3,3.0,1383.86,0,1,0,-10.793677927408558,-10.793677927408558,-0.122848200312989,0.0
Baur,5,4,1.2,383.93,2,3,0,-1.2820671853193821,3.226328703416869,-0.07949921752738653,40.0
Baveri,1,0,0.0,0.0,0,1,0,-0.7964109596442189,-0.7964109596442189,0.0125195618153364,0.0
Baya,1,0,0.0,0.0,0,1,0,-1.2349052597194947,-1.2349052597194947,0.0078247261345852,0.0
Bearma,12,28,9.666666666666666,86.08,2,10,0,-5.917266207097167,-6.135670337173044,-0.14325769431403226,16.7
Belan,9,24,11.222222222222221,733.72,0,8,1,19.514662244977767,19.188908407173894,0.11824030603373321,0.0
Berach,15,24,8.333333333333334,588.63,0,15,0,10.807480733213305,9.235444096675202,0.031820552947313466,0.0
Betwa,29,102,33.689655172413794,5109.55,12,17,0,-5.602221895430114,-5.3552870170782345,-0.12740812692245423,41.4
Bewas,3,4,2.6666666666666665,101.1,3,0,0,-13.0339653546545,-12.445121445170928,-0.208659363588941,100.0
Bhada,2,0,0.0,0.0,0,2,0,-16.18375913068395,-16.18375913068395,-0.10367762128325504,0.0
Bhagirathi,4,3,1.25,3629.5,0,4,0,-2.8497606402272937,-2.4226940625924445,-0.027582159624413127,0.0
Bhairab,1,0,0.0,0.0,0,1,0,-4.492443606038267,-4.492443606038267,-0.0117370892018779,0.0
Bhakra,1,2,2.0,131.69,0,1,0,-1.4472356768630543,-1.4472356768630543,-0.0649452269170579,0.0
Bhandar,1,2,2.0,8.04,0,1,0,-8.982575890180078,-8.982575890180078,-0.1040688575899843,0.0
Bhillangana,2,0,0.0,0.0,0,2,0,4.599532072723532,4.599532072723532,0.07472613458528951,0.0
Bilas,1,1,1.0,28.9,0,1,0,11.735132486031604,11.735132486031604,0.0070422535211267,0.0
Bilrai,1,4,4.0,8.81,1,0,0,-18.03989928168851,-18.03989928168851,-0.1721439749608763,100.0
Bina,4,5,3.25,10.52,0,4,0,-4.066797229029789,-4.315828290112176,-0.0827464788732394,0.0
Bino,1,0,0.0,0.0,1,0,0,-29.33621864108232,-29.33621864108232,-0.310641627543036,100.0
Birahi Ganga,1,0,0.0,0.0,0,0,1,56.11183447061918,56.11183447061918,0.3161189358372457,0.0
Burha,1,0,0.0,0.0,1,0,0,-8.269497436832998,-8.269497436832998,-0.1815336463223787,100.0
Burhi Gandak,20,0,0.0,0.0,0,20,0,2.2003732779321403,1.4347145544100681,0.02938184663536773,0.0
Chakan,1,2,2.0,21.08,0,1,0,8.903485538618197,8.903485538618197,-0.0297339593114241,0.0
Chalak,1,0,0.0,0.0,0,1,0,2.139006966016098,2.139006966016098,-0.041471048513302,0.0
Chalki,1,0,0.0,0.0,0,1,0,-11.345352463541776,-11.345352463541776,-0.0594679186228482,0.0
Chambal,28,229,56.607142857142854,13023.39,0,28,0,6.338970896983797,5.452825726509503,0.010116253073999536,0.0
Chamla,1,0,0.0,0.0,0,1,0,6.219190268735975,6.219190268735975,0.0375586854460093,0.0
Champa,1,0,0.0,0.0,0,1,0,15.85002575837546,15.85002575837546,0.0790297339593114,0.0
Chandan,2,3,2.0,241.36,0,2,0,5.53022054321638,5.53022054321638,-0.0023474178403756004,0.0
Chandloi,2,1,0.5,43.72,0,2,0,6.928922744358983,6.928922744358983,-0.01643192488262905,0.0
Chandrabhaga,1,2,2.0,12.34,0,1,0,11.509105547299388,11.509105547299388,0.0618153364632237,0.0
Chauli,1,2,2.0,55.4,0,1,0,18.386887304544093,18.386887304544093,0.0743348982785602,0.0
Chaupat,1,0,0.0,0.0,0,1,0,-4.782271030533001,-4.782271030533001,-0.0931142410015649,0.0
Chhapi,2,7,6.0,106.97,0,2,0,15.54279535568537,15.54279535568537,0.06103286384976525,0.0
