seg_id,river_name,tier,spei_cell_lat,spei_cell_lon,spei_data_available,spei12_annual_mean,spei12_early_mean,spei12_late_mean,spei12_pct_change_proxy,spei12_mk_trend,spei12_mk_p,spei12_mk_tau,spei12_sens_slope,spei_category
1429,Padma,1,23.325,90.475,False,,,,,,,,,No Data
1445,Padma,1,23.625,90.025,False,,,,,,,,,No Data
1495,Padma,1,23.475,90.375,False,,,,,,,,,No Data
1496,Padma,1,23.425,89.925,False,,,,,,,,,No Data
1497,Padma,1,23.425,90.325,False,,,,,,,,,No Data
1523,Padma,1,23.975,89.225,False,,,,,,,,,No Data
1525,Padma,1,23.825,89.725,False,,,,,,,,,No Data
1526,Padma,1,23.875,89.775,False,,,,,,,,,No Data
1527,Padma,1,23.825,89.775,False,,,,,,,,,No Data
1528,Padma,1,23.425,89.575,False,,,,,,,,,No Data
1530,Padma,1,23.475,89.425,False,,,,,,,,,No Data
1548,Punarbhaba,99,25.375,88.525,True,-0.0428,-0.0771,0.0015,0.0787,no trend,0.9762410903191197,0.0028,0.000154,SPEI Stable
1549,Punarbhaba,99,24.975,88.375,True,-0.1509,-0.1171,-0.1945,-0.0774,no trend,0.7507335153518226,-0.0262,-0.001219,SPEI Stable
1551,Padma,1,24.375,88.525,True,-0.1471,-0.0861,-0.2259,-0.1398,no trend,0.37161442772025643,-0.0728,-0.003167,SPEI Stable
1552,Padma,1,24.225,88.725,True,-0.1406,-0.0604,-0.2441,-0.1837,no trend,0.22584723604104706,-0.0986,-0.005095,SPEI Stable
1553,Padma,1,24.275,88.725,True,-0.1543,-0.0966,-0.2287,-0.1321,no trend,0.6986354428998491,-0.0318,-0.001592,SPEI Stable
1560,Tangan,99,25.475,88.475,True,-0.0398,-0.0852,0.0188,0.104,no trend,0.9762410903191197,-0.0028,-0.000152,SPEI Stable
1562,Punarbhaba,99,25.775,88.675,False,,,,,,,,,No Data
2480,Kevai,99,23.225,82.025,True,0.1305,0.2216,0.0128,-0.2088,decreasing,0.043880164491232776,-0.1638,-0.009222,SPEI Drying
2481,Son,99,23.025,82.025,True,0.1673,0.3126,-0.0202,-0.3328,decreasing,0.011684771016124973,-0.2048,-0.01223,SPEI Drying
2807,Mohana,99,24.225,85.125,True,-0.222,-0.1788,-0.2779,-0.0991,no trend,0.647919795360359,-0.0374,-0.001896,SPEI Stable
2910,Padma,1,22.575,88.775,True,0.2957,0.3269,0.2555,-0.0714,no trend,0.4747556847815666,0.0584,0.003517,SPEI Stable
2912,Padma,1,22.575,88.675,True,0.2759,0.2806,0.2699,-0.0106,no trend,0.5647631724211553,0.0471,0.002555,SPEI Stable
2913,Ichamati,99,22.925,88.725,True,0.2425,0.2806,0.1933,-0.0874,no trend,0.9683250952101472,-0.0036,-0.000234,SPEI Stable
2914,Kalindi,99,22.425,88.825,True,0.2868,0.2931,0.2788,-0.0142,no trend,0.2704939159696198,0.0897,0.004396,SPEI Stable
2915,Ichamati,99,22.625,88.925,True,0.297,0.3101,0.2801,-0.03,no trend,0.4099608311090899,0.0672,0.003543,SPEI Stable
2916,Ichamati,99,23.025,88.875,True,0.1268,0.1632,0.0798,-0.0835,no trend,0.7133888312424626,0.0302,0.001841,SPEI Stable
2918,Ichamati,99,23.125,88.775,True,0.1,0.121,0.073,-0.048,no trend,0.647919795360359,0.0374,0.003003,SPEI Stable
