name,river_name,seg_id,latitude,longitude
Adi Ganga,,,22.348653,88.436484
Agra Canal,Yamuna,3500.0,27.752608,77.641857
Aring Distributary,Yamuna,3495.0,27.484533,77.511904
Auchandi Minor,Yamuna,3278.0,28.834308,76.998875
Badi Nahar,Karmanasa,3962.0,25.450236,83.725182
Bansujara Left Bank Canal,Betwa,4153.0,24.731941,79.198149
Barun Canal,Ganga,4578.0,25.452703,84.891387
Bheri Escape,Gandak,4429.0,27.122632,83.827684
Bisalpur Branch,Ganga,3845.0,28.232437,79.813442
Budhanpur Minor,Yamuna,3278.0,28.80368,77.003772
Canall,Chambal,3644.0,24.479702,75.212477
Chachi Distributary,Tons,4072.0,24.661637,81.257898
Chambal Right Branch Main Canal,,,25.170194,76.08391
"DNMC, 1(R)",Ganga,4845.0,26.354711,88.327656
"DNMC, 2(L)",Ganga,4845.0,26.351661,88.35985
"DNMC, 3(L)",Ganga,4845.0,26.326317,88.322221
"DNMC, 5(R)",Ganga,4845.0,26.315079,88.266139
"DNMC, 5(R), M2(R)",Ganga,4845.0,26.323076,88.265076
"DNMC, 9(L)",Ganga,4845.0,26.265617,88.22172
Dakpathar Canal,Yamuna,3289.0,30.405651,77.609272
Dauk-Nagar Main Canal,Ganga,4845.0,26.306426,88.270492
Dehri Canal,Ganga,4411.0,25.188118,84.423282
Delhi Merrut expressway,Ganga,3542.0,28.783934,77.581921
Deoran Minor,Betwa,4163.0,24.429539,78.720446
Dhansa Minor,Yamuna,3257.0,28.554617,76.874396
Doun branch cnal,Burhi Gandak,5141.0,27.210989,84.203789
Doun canal,Burhi Gandak,5118.0,27.207403,84.490441
Emdi Nahar,Chambal,3708.0,25.027511,73.916311
Emdi-Bhatkhera Nahar,Chambal,3708.0,25.023435,73.920618
Emdi-Nandoli Nahar,Chambal,3708.0,25.026331,73.91524
Emri Nahar,Chambal,3708.0,25.027655,73.91165
Emri-JK Nahar,Chambal,3708.0,25.026939,73.908261
Emri-Nandoli Nahar,Chambal,3708.0,25.027295,73.918774
Etawah Branch,Yamuna,3368.0,26.981225,79.038025
Farakka Feeder Canal,Ganga,2959.0,24.646921,87.9557
Fatehpur Sikri Distributary,Yamuna,3495.0,27.029969,77.881405
Gandak Nahar,Ghaghara,4396.0,26.308143,84.609622
Ganga Canal,Ganga,3926.0,29.931427,78.05068
Ganga River,,,22.993455,88.427639
Girem Distributary,Ganga,3830.0,28.512763,79.57682
Gothav Jhinguriya Canal Road,Ganga,3949.0,25.563737,82.498803
Govardhan Nala,Yamuna,3495.0,27.313236,77.663348
Gunj Canal,Ganga,3879.0,29.121777,78.254673
Gurgaon Canal,Yamuna,3264.0,28.457699,77.317011
Haldhar Canal,Punpun,4543.0,24.842403,84.454675
Harewali Canal,Yamuna,3278.0,28.830716,77.013011
Harewali Minor,Yamuna,3278.0,28.799906,77.037873
Harewali Nahar Towards Auchandi (Auchandi Minor),Yamuna,3278.0,28.808468,76.984551
Hasanpur Distributary,Yamuna,3535.0,28.096372,77.41984
Hindon Yamuna Canal,Yamuna,3264.0,28.601061,77.311271
Indira Dam,Gomti,4019.0,26.828492,81.068411
Jaunti Minor,Yamuna,3278.0,28.771265,76.939067
Kaithwara Canal,Yamuna,3528.0,27.603726,77.11431
Khajuria Branch (Western Gandak Main canal),Ghaghara,4430.0,26.885803,83.823986
Koshi Pump Nahar(Canal),Ganga,4891.0,26.484577,86.544893
Kosi main canal,Ganga,4866.0,25.742458,87.368712
Left Chorell Distributary,Ganga,3830.0,28.56176,79.607744
Left Girem Distributary,Ganga,3831.0,28.412558,79.577604
Lower Ganga Canal,Ganga,3808.0,27.826124,78.567722
Madanpur Drain,Yamuna,3281.0,28.686421,77.001131
Madhya Ganga Canal,Ganga,3871.0,29.162158,78.183046
Mahananda Main Canal,Ganga,4843.0,26.421393,88.273131
Maila khola,Sharda,4659.0,28.389102,81.163707
Majhuee,Ganga,4004.0,26.433296,82.155716
Mathia Branch,Gandak,4431.0,27.051485,83.94821
Mathura Escape,Yamuna,3506.0,27.507784,77.636748
Mehsi - Sahebganj Rd,Ganga,4575.0,26.291364,84.984023
Morel Bandh East Canal,Chambal,3402.0,26.432578,76.352081
Morel Bandh West Canal,Chambal,3402.0,26.417572,76.335665
Morena Branch Canal,Sindh,3357.0,26.402949,77.893285
Motipur Minor,Kosi,3857.0,29.373764,79.085857
Mundka Minor,Yamuna,3281.0,28.660718,77.015816
"Nagtalai Nala , Jaipur",Chambal,3397.0,26.939149,75.841963
Nahar Bhandara,,,22.687006,75.856328
Nilothi Distributary,Yamuna,3263.0,28.660429,77.05591
Nogama Nahar,Chambal,3708.0,25.021109,73.906679
Obra Canal,Punpun,4547.0,24.895338,84.363383
One Left Distributary,Sindh,3366.0,26.393278,77.839077
Parsāhi Distributary,Ghaghara,4422.0,26.540553,84.057487
Parwar Nadi,Yamuna,4111.0,25.800618,79.612456
Patharnala Kul,Yamuna,3310.0,31.280416,77.927829
Poorvi Yamuna Nahar,Yamuna,3301.0,29.556514,77.375388
Rampur Minor,Betwa,4163.0,24.471392,78.726478
Rasula Minor,Ganga,3830.0,28.472757,79.566022
Right Jamni Canal,Betwa,4163.0,24.435642,78.737072
Saidpur Minor,Betwa,4163.0,24.454574,78.728251
Sarda Canal,Sharda,4796.0,28.872137,80.00956
Sarda Canal Bisalpur Branch,Ganga,3845.0,28.495561,79.836242
Sarda Canal Kheri Branch,Sharda,3847.0,28.626776,80.161492
Sarda Canal Nagina Branch,Ganga,3844.0,28.408524,79.958449
Sarda Kanal Hardoi Branch,Sharda,3847.0,28.235965,80.067841
Seventeen Left Distributary,Sindh,3357.0,26.400464,77.799752
Sharda Canal,Sharda,4780.0,27.266796,81.04584
Sultanpur Minor,Yamuna,3278.0,28.718485,77.0017
Tond Minor,Chambal,3402.0,26.377478,76.375798
Tribeni canal,Burhi Gandak,5141.0,27.163704,84.201538
Turra Nala,Ghaghara,4428.0,26.792141,83.471759
Upper Ganga Canal,Yamuna,3502.0,28.430193,77.789501
Western Yamuna Canal,Yamuna,3276.0,29.299633,76.936626
jogipur canal,Ganga,4578.0,25.591954,85.168133
north koel canal,Ganga,4411.0,24.54926,84.029563
