river_name,confluences_into,place_name,confluence_lon,confluence_lat,outlet_seg_id,dist_m
Bhagirathi,Ganga,Devprayag,78.6026,30.1441,4205,374
Alaknanda,Ganga,Devprayag,78.6026,30.1441,4212,374
Mandakini,Alaknanda,Rudraprayag,78.9817,30.2847,4211,411
Yamuna,Ganga,Prayagraj,81.8847,25.4304,4044,1156
Tons,Yamuna,Prayagraj,81.88,25.425,4068,26968
Chambal,Yamuna,Etawah,79.0163,26.58,3339,25785
Betwa,Yamuna,Hamirpur,80.1437,25.949,4113,9283
Ken,Yamuna,Banda,80.3521,25.5133,4258,23800
Sindh,Yamuna,Mainpuri,79.25,26.4,3390,5364
Hindon,Yamuna,Ghaziabad,77.7,28.7,3534,34450
Kali Sindh,Chambal,Anta,76.37,25.15,3569,17634
Gomti,Ganga,Ghazipur,83.5804,25.5772,3932,42029
Ghaghara,Ganga,Chhapra,84.7467,25.7789,4405,9180
Sharda,Ghaghara,Brahmaghat,81.35,27.95,4777,31202
Sarju,Ghaghara,Ayodhya,82.1964,26.7847,4757,30834
Rapti,Ghaghara,Barhaj,83.7283,26.3083,4417,6085
Rohini,Rapti,Gorakhpur,83.37,26.78,4448,4763
Ramganga,Ganga,Kannauj,79.908,27.0551,3799,14254
Gaula,Ramganga,Kalagarh,78.98,29.5,3842,71998
Son,Ganga,Koilwar,84.7739,25.5633,4411,20617
Rihand,Son,Singrauli,82.75,24.2,4340,14701
Koel,Son,Medininagar,84.075,23.9,4590,8645
Gandak,Ganga,Hajipur,85.2167,25.694,4573,8107
Bagmati,Ganga,Rosera,85.9975,25.8689,4872,22248
Burhi Gandak,Ganga,Rosera,86.0,25.87,4881,33656
Kosi,Ganga,Kursela,87.2204,25.4412,4860,6
Kamala,Kosi,Supaul,86.6,26.12,4875,23055
Mechi,Mahananda,Siliguri,88.135,26.6117,4842,4
Mahananda,Ganga,Manikchak,87.9197,25.1687,5081,19905
Karmanasa,Ganga,Chandauli,83.8667,25.2833,4729,8797
Punpun,Ganga,Masaurhi,85.07,25.555,4540,13083
Hooghly,Bay of Bengal,Sagar Island,88.05,21.65,5083,325339
Padma,Bay of Bengal,Meghna mouth,90.6,22.3,3661,70135
