Name,river_name,seg_id,Latitude,Longitude,HaLF,DamLength,ReservoirArea,GrossStorageCapacity,EffectiveStorageCapacity,score,river_bonus,total_score,year_constructed,year_confidence
Tehri Dam,Bhagirathi,4203,30.3786,78.48,260.5,575,52000000,3540000000,2615000000,85,15,100,2006,certain
Rihand Dam,Rihand,4340,24.2028,83.0061,91.46,934.45,466000000,10600000000,8900000000,92,5,97,1962,certain
Ban Sagar Dam,Son,4375,24.1856,81.2878,67.5,405,519874041,6370000000,5430000000,85,10,95,2006,certain
Matatila Dam,Betwa,4159,25.0972,78.3725,45.72,6300,138850000,1132000000,1019400000,90,5,95,1958,certain
Rajghat Dam,Betwa,4157,24.7628,78.2342,43.5,11200,242100000,2172000000,1945000000,90,5,95,1999,certain
Bisalpur Dam,Chambal,3432,25.9247,75.4558,39.5,574,212300000,1095840000,1075650000,82,5,87,1999,certain
Kalisindh Dam Phase-I Dam,Kali Sindh,3563,24.4815,76.2242,30.5,955,18340000,5437000000,5395000000,70,0,70,2012,approximate
Lakhwar (Ujvn) Dam,Yamuna,3320,30.5208,77.9144,204,451,9570000,580000000,333000000,55,10,65,,unknown
Ram Ganga Dam,Ganga,3882,29.5203,78.7597,128,715,55000000,244960000,219600000,55,10,65,1974,certain
Maudaha Dam,Yamuna,4109,25.5886,79.7078,32.6,3480,54390000,200000000,179000000,53,10,63,1985,approximate
North Koel Dam,Punpun,4543,24.6044,84.2869,67.86,343,71200000,702000000,541500000,63,0,63,,unknown
Chittaurgarh Dam,Ghaghara,4755,27.5775,82.5997,15.3,11000,920000000,424750000,387940000,50,10,60,,unknown
Dhandhraul Dam,Ganga,3964,24.6094,83.1664,21,7305,314196000,144144000,139504000,50,10,60,,unknown
Moosakhand Dam,Karmanasa,3968,24.9781,83.3008,33.53,2967,1154515000,155771000,110440000,60,0,60,1980,approximate
Ranapratap Sager Dam,Chambal,3615,24.9169,75.5814,,,198260000,2898690000,1566530000,55,5,60,1970,certain
Meja Dam,Son,4058,24.865,82.3989,40,2000,47400000,303120000,267340000,48,10,58,2019,approximate
Shahjad Dam,Betwa,4160,24.9486,78.5214,18,4160,299300000,130000000,96060000,50,5,55,1982,approximate
Batane Dam,Punpun,4543,24.4275,84.2603,24.08,2012.2,13360000,678700000,59970000,53,0,53,1990,approximate
Rajsamand Dam,Chambal,3708,25.0611,73.9006,39.2,5585.05,18144000,107150000,98650000,48,5,53,1660,certain
Adwa Dam,Son,4057,24.7858,82.3125,20.48,7906,166700000,88100000,83700000,40,10,50,1985,approximate
Gandhi Sagar Dam,Chambal,3634,24.0828,75.5533,62.17,514,60000000,73220000,67974000,45,5,50,1960,certain
Girgitahi Dam,Ghaghara,4753,27.6764,82.32,15.18,4800,257380000,9250000,6475000,40,10,50,,unknown
Kaliasote Dam,Betwa,4191,23.1972,77.4075,67.08,1080,5295000,35887000,34410000,45,5,50,1975,approximate
Upper Khajuri Dam,Son,4058,24.9978,82.6081,24.88,2313,113172000,44740000,37834000,40,10,50,1980,approximate
Chandan Dam,Gerua,2977,24.6756,86.9225,49.38,1555,10810000,157230000,135740000,48,0,48,1976,approximate
Durgawati Dam,Karmanasa,3967,24.8461,83.7231,46.3,1615.4,23413000,287700000,257500000,48,0,48,1976,approximate
Mohini Pick-Up Weir Dam,Sindh,3469,25.6708,77.8861,36,2569,16243000,108810000,107110000,48,0,48,1970,approximate
Rangawan Dam,Ken,4276,24.6869,79.8586,27.4,2073,25900000,164238000,155177000,38,5,43,1988,approximate
Sarda Sagar Dam,Sharda,4796,28.7833,80.0897,16.15,22200,57650000,406260000,330100000,43,0,43,1928,certain
Jamrani Phase I Dam,Gaula,3842,29.2669,79.6161,130.6,365,625731,206600000,144300000,40,0,40,,unknown
Obra Dam,Rihand,4340,24.4394,82.9661,29.23,1956.76,9403873,211050000,211000000,35,5,40,1968,certain
Bour Dam,Gaula,3849,29.1322,79.26,17.98,9500,16258000,103368000,102510000,38,0,38,1980,approximate
Amanat Dam,North Koel,4593,24.0075,84.5544,41,869,2100000,107190000,81450000,37,0,37,1985,approximate
Gangau Dam,Ken,4274,24.6261,79.8592,16.15,826,149900000,58472000,56490000,32,5,37,1915,certain
Chhilar Dam,Kali Sindh,3594,23.3833,76.3,30.48,2866,8460000,34790000,31110000,35,0,35,1978,approximate
Kaketo Dam,Sindh,3453,25.8992,77.695,37.64,1047,8906900,80510000,79180000,35,0,35,1975,approximate
Sunder Dam,Gerua,5274,24.9436,87.3908,35.67,1555,4970000,30890000,21623000,35,0,35,1982,approximate
Vishnu Gad Pipalkoti Hep Dam,Alaknanda,4240,30.5139,79.4917,65,89.55,245000,363000000,2470000,35,0,35,2023,approximate
Dongia Dam,Tons,3973,24.9033,83.0089,15.3,2012,70850000,28330000,20250000,33,0,33,1985,approximate
Dhauliganga Dam,Sharda,4803,29.9783,80.5719,56,270,226000,6200000,1540000,30,0,30,2005,certain
Maneri Stage I Dam,Bhagirathi,3323,30.7392,78.5286,39,127,180000,600000,510000,15,15,30,1984,certain
Srinagar Dam,Alaknanda,4212,30.2403,78.8319,90,248,4500000,78000000,8000000,30,0,30,2015,certain
Ichari Dam,Tons,4079,30.6139,77.7911,59.25,155,812500,8930000,5110000,25,0,25,1972,certain
Malay Dam,North Koel,4589,23.9186,84.2831,28.8,1714.2,3460000,,,25,0,25,,unknown
Banghoghwa Dam,Rapti,4750,27.7936,82.1375,14.1,2920,26480000,2809000,1141000,23,0,23,,unknown
Rambara Dam,Mandakini,4208,30.6947,79.0556,31,75,65000000,74000,73000,23,0,23,,unknown
Khairman Dam,Rapti,4750,27.7686,82.2242,10.6,3020,4994000,5051000,1447000,20,0,20,,unknown
