river_name,segments,tier
Ganga,108,1
Padma,42,1
Hooghly,1,1
Alaknanda,6,2
Gahra,2,2
Garkhe,1,2
Hiyuni,1,2
Harohar,8,3
Nandakini,1,3
Yamuna,53,99
Ghaghara,42,99
Kosi,33,99
Son,33,99
Banas,29,99
Betwa,29,99
Chambal,28,99
Gomti,28,99
Parbati,24,99
Gandak,23,99
Khari,23,99
Burhi Gandak,20,99
Sai,20,99
Tons,20,99
Ramganga,18,99
Kali,17,99
Rapti,17,99
Sindh,17,99
Berach,15,99
Dhasan,15,99
Ken,15,99
Mashi,15,99
Banganga,14,99
Tamasa,14,99
Bagmati,13,99
Bearma,12,99
Kamala,12,99
Rihand,12,99
Sharda,12,99
Gambhir,11,99
Kali Sindh,11,99
Karmanasa,11,99
Mendha,11,99
Mohana,10,99
Sengur,10,99
Belan,9,99
Gopat,9,99
Jamni,9,99
Koel,9,99
Mahananda,9,99
Sonar,9,99
Karwan,8,99
Non,8,99
Punpun,8,99
Kanhar,7,99
Rohini,7,99
Shyam,7,99
Ahu,6,99
Hindon,6,99
Kunwari,6,99
Morel,6,99
Phalgu,6,99
Sarju,6,99
Satna,6,99
Vaisali,6,99
Baur,5,99
Deoha,5,99
Garra,5,99
Ichamati,5,99
Jadh Ganga,5,99
Kankai,5,99
Kareli,5,99
Khul,5,99
Mahakali,5,99
Newaj,5,99
Pahuj,5,99
Panchane,5,99
Retam,5,99
Sanwan,5,99
Andheri,4,99
Barah,4,99
Bhagirathi,4,99
Bina,4,99
Chhoti Kali Sindh,4,99
Dai,4,99
Danau,4,99
Gaula,4,99
Ghora Pachhar,4,99
Gunjali,4,99
Katni,4,99
Kiul,4,99
Kuno,4,99
Mahuar,4,99
Manorama,4,99
Mej,4,99
Punarbhaba,4,99
Shipra,4,99
Sota,4,99
Sotwa,4,99
Varuna,4,99
Amanat,3,99
Babai,3,99
Baghain,3,99
Balan,3,99
Banne,3,99
Bewas,3,99
Dharmauti,3,99
Dhauli Ganga,3,99
Dhund,3,99
Gangan,3,99
Iwa,3,99
Jamuni,3,99
Jamwar,3,99
Kadhu,3,99
Kathan,3,99
Keshaliya,3,99
Khaimua,3,99
Lakheri,3,99
Madad,3,99
Mahana,3,99
Maleni,3,99
Mandakini,3,99
Manoli,3,99
Mechi,3,99
Nagri,3,99
Paimar,3,99
Paisuni,3,99
Shyamri,3,99
Sohadra,3,99
Solani,3,99
Sunder,3,99
Surna,3,99
Urvashi,3,99
Aami,2,99
Asan,2,99
Auranga,2,99
Balasan,2,99
Bhada,2,99
Bhillangana,2,99
Chandan,2,99
Chandloi,2,99
Chhapi,2,99
Dardha,2,99
Darma Yankti,2,99
East Bahgul,2,99
Gambhiri,2,99
Ghaghi,2,99
Giri,2,99
Gumani,2,99
Idar,2,99
Johilla,2,99
Kothari,2,99
Kurai,2,99
Lakundar,2,99
Lilajan,2,99
Mathabanga,2,99
Mayar,2,99
Morhar,2,99
Nagar,2,99
Naina,2,99
Narain,2,99
Panar,2,99
Parman,2,99
Parvan,2,99
Pindar,2,99
Sasur Khaderi,2,99
Sau,2,99
Song,2,99
Sudhani,2,99
Suheli,2,99
Tangan,2,99
Thalera,2,99
Adari,1,99
Aerma,1,99
Afsarha,1,99
Aglad,1,99
Ahar,1,99
Aheli,1,99
Ajmar,1,99
Ajnal,1,99
Alnia,1,99
Amjar,1,99
Ansar,1,99
Ashamati,1,99
Ashmi,1,99
Asrawal,1,99
Baen,1,99
Bagad,1,99
Bahalla,1,99
Bahmnai,1,99
Bajyan,1,99
Bakalya,1,99
Bakra,1,99
Bal Ganga,1,99
Baleti,1,99
Bamni,1,99
Bamnidai,1,99
Banki,1,99
Bansi,1,99
Barhki,1,99
Barnar,1,99
Bata,1,99
Batane,1,99
Baveri,1,99
Baya,1,99
Bhairab,1,99
Bhakra,1,99
Bhandar,1,99
Bilas,1,99
Bilrai,1,99
Bino,1,99
Birahi Ganga,1,99
Burha,1,99
Chakan,1,99
Chalak,1,99
Chalki,1,99
Chamla,1,99
Champa,1,99
Chandrabhaga,1,99
Chauli,1,99
Chaupat,1,99
Chilkara,1,99
Chopani,1,99
Dabka,1,99
Dahuk,1,99
Dande,1,99
Danru,1,99
Dehar,1,99
Dhanauti,1,99
Dhela,1,99
Dhil,1,99
Dudhaliya,1,99
Dudhi,1,99
Gadela,1,99
Gagas,1,99
Galwa,1,99
Garara,1,99
Garhi,1,99
Garni,1,99
Ghar Ganga,1,99
Ghodchhatra,1,99
Ghurari,1,99
Girthi Ganga,1,99
Gohirari,1,99
Goini,1,99
Goriganga,1,99
Gorma,1,99
Gudne,1,99
Halali,1,99
Harna,1,99
Indar,1,99
Jadhang,1,99
Jalkur,1,99
Jam,1,99
Jashma,1,99
Jaulaha,1,99
Jhilmil,1,99
Jhim,1,99
Jinjoi,1,99
Kadmali,1,99
Kadwal,1,99
Kail Ganga,1,99
Kakund,1,99
Kali Rau,1,99
Kalindi,1,99
Kalindri,1,99
Kanh,1,99
Kanthali,1,99
Karai,1,99
Karisil,1,99
Katna,1,99
Kendar,1,99
Kethan,1,99
Kevai,1,99
Kevtan,1,99
Khan,1,99
Khoh,1,99
Khoki,1,99
Khudar,1,99
Kopra,1,99
Kuliki,1,99
Kunda,1,99
Kunu,1,99
Kural,1,99
Kuthi Yankti,1,99
Kutni,1,99
Ladhiya,1,99
Lakhandei,1,99
Lapri,1,99
Lassar Yankti,1,99
Lastar,1,99
Lohra,1,99
Londri,1,99
Machhli,1,99
Madhmaheshwar Ganga,1,99
Mahara,1,99
Maila,1,99
Malin,1,99
Man,1,99
Mana,1,99
Mandal,1,99
Manki,1,99
Manmaheshwari,1,99
Mansi,1,99
Marai,1,99
Mawai,1,99
Menali,1,99
Mirhasan,1,99
Nakti,1,99
Nandhaur,1,99
Naren,1,99
Nayar,1,99
Nekhadi,1,99
Neur,1,99
Orai,1,99
Pabbar,1,99
Palain,1,99
Panda,1,99
Pandu,1,99
Papras,1,99
Paru,1,99
Parwar,1,99
Pashchimi Nayar,1,99
Patne,1,99
Pingla,1,99
Purvi Nayar,1,99
Rato,1,99
Ratua,1,99
Retili,1,99
Rishi Ganga,1,99
Rupin,1,99
Sagar,1,99
Sainj,1,99
Sajnam,1,99
Sakri,1,99
Sameliya,1,99
Sank,1,99
Sanr,1,99
Sarai,1,99
Saswa,1,99
Sesar,1,99
Shallu,1,99
Singhyahi,1,99
Sokar,1,99
Somli,1,99
Sorhur,1,99
Sui,1,99
Sukni,1,99
Sukri,1,99
Supin,1,99
Surai,1,99
Tahle,1,99
Tangon,1,99
Tila,1,99
Tilayia,1,99
Tipan,1,99
Tribani,1,99
Ujar,1,99
Ulai,1,99
Unli,1,99
Upreni,1,99
Urmal,1,99
Usra,1,99
