seg_id,river_name,tier
1429,Padma,1
1445,Padma,1
1495,Padma,1
1496,Padma,1
1497,Padma,1
1523,Padma,1
1525,Padma,1
1526,Padma,1
1527,Padma,1
1528,Padma,1
1530,Padma,1
1548,Punarbhaba,4
1549,Punarbhaba,4
1551,Padma,1
1552,Padma,1
1553,Padma,1
1560,Tangan,4
1562,Punarbhaba,4
2480,Kevai,5
2481,Son,2
2807,Mohana,4
2910,Padma,1
2912,Padma,1
2913,Ichamati,4
2914,Kalindi,5
2915,Ichamati,4
2916,Ichamati,4
2918,Ichamati,4
2919,Mathabanga,5
2920,Padma,1
2921,Padma,1
2922,Ichamati,4
2928,Padma,1
2929,Padma,1
2930,Mathabanga,5
2931,Bhairab,5
2933,Padma,1
2954,Gumani,4
2957,Gumani,4
2959,Ganga,1
2960,Ganga,1
2971,Padma,1
2973,Padma,1
2977,Chandan,4
2978,Barnar,5
3217,Koel,3
3244,Sota,4
3245,Sota,4
3246,Sota,4
3247,Chalak,5
3248,Sota,4
3260,Yamuna,1
3261,Yamuna,1
3262,Yamuna,1
3263,Yamuna,1
3264,Yamuna,1
3279,Yamuna,1
3281,Yamuna,1
3284,Bata,5
3285,Tons,2
3286,Giri,4
3287,Yamuna,1
3288,Yamuna,1
3289,Yamuna,1
3290,Yamuna,1
3291,Yamuna,1
3292,Yamuna,1
3293,Yamuna,1
3295,Yamuna,1
3296,Yamuna,1
3297,Yamuna,1
3298,Yamuna,1
3300,Yamuna,1
3301,Hindon,3
3302,Hindon,3
3303,Yamuna,1
3304,Yamuna,1
3305,Yamuna,1
3308,Rupin,4
3309,Tons,2
3310,Pabbar,4
3311,Tons,2
3312,Tons,2
3316,Shallu,5
3317,Tons,2
3318,Sainj,5
3319,Tons,2
3320,Yamuna,1
3321,Aglad,5
3322,Yamuna,1
3323,Bhagirathi,3
3324,Yamuna,1
3325,Ashmi,5
3326,Giri,4
3328,Sarai,5
3329,Chambal,2
3330,Kadwal,5
3331,Chambal,2
3332,Banas,3
3333,Chambal,2
3334,Chambal,2
3335,Chambal,2
3336,Chambal,2
3337,Kuno,4
3338,Karisil,5
3339,Chambal,2
3340,Parbati,3
3341,Karai,5
3342,Kuno,4
