river_name,seg_id,tier
Ganga,2959,1
Alaknanda,4212,2
Bhagirathi,4203,2
Mandakini,4211,2
Burhi Gandak,4901,3
Gandak,4577,3
Ghaghara,4401,3
Gomti,3932,3
Ramganga,3864,3
Rapti,4456,3
Sarju,4812,3
Bagmati,4880,4
Kamala,4934,4
Kosi,3872,4
Mahananda,5081,4
Mechi,4846,4
Betwa,4121,5
Chambal,3336,5
Ken,4281,5
Son,4341,5
Tons,4067,5
Yamuna,4254,5
Hindon,3559,6
Kali Sindh,3627,6
Karmanasa,3962,6
North Koel,4565,6
Punpun,5170,6
Sharda,4777,6
Sindh,3390,6
Gaula,3861,7
Gerua,5111,7
Rihand,4340,7
Rohini,4448,7
