name,river_name,seg_id,latitude,longitude,dist_deg
Hindon Weir,Hindon,3534.0,28.665603,77.399974,0.003724
Itka Dam,,,22.415142,80.128888,
Gomti River Weir,Gomti,4019.0,26.840399,80.967523,0.007951
Indrapuri Barrage,Son,4411.0,24.834432,84.137093,0.003649
Peepal Ka Dhar Ka Anicut,,,26.700772,77.31057,
Balaji Ka Anicut,,,26.70867,77.301241,
DS Ka Anicut,,,26.721985,77.279225,
Retai Ka Anicut,,,26.649511,77.313538,
Khori Ke Deh Ka Anicut,,,26.596416,77.292616,
Nare Ka Anikut,,,26.600543,77.25657,
Chhaje Ka Anikut,,,26.591453,77.266421,
