name,river_name,seg_id,latitude,longitude,dist_deg
Nogama Nahar,Gomti,3708.0,25.029764,73.90483,0.007358
Emri-JK Nahar,Gomti,3708.0,25.028343,73.909118,0.005812
Emdi-Bhatkhera Nahar,Gomti,3708.0,25.021798,73.923231,0.005076
Emri-Nandoli Nahar,Gomti,3708.0,25.027637,73.919668,0.002508
Emdi Nahar,Gomti,3708.0,25.028007,73.917615,0.002429
Emdi-Nandoli Nahar,Gomti,3708.0,25.026674,73.914646,0.004849
Emri Nahar,Gomti,3708.0,25.026929,73.914172,0.004795
Western Yamuna Canal,Yamuna,3289.0,30.314541,77.585708,0.001125
Jind Distribution No. 3,,,29.368917,76.602338,0.434982
Sharda Canal,Sai,3979.0,26.185337,81.283817,7.9e-05
Maila khola,Ghaghara,4659.0,28.341686,81.135793,0.002103
Majhuee,Tamasa,4004.0,26.446215,82.15441,0.043851
Gothav Jhinguriya Canal Road,Varuna,3949.0,25.566761,82.505987,0.027823
Parwar Nadi,Parwar,4111.0,25.835529,79.698515,0.000758
Mathura Escape,Yamuna,3506.0,27.506365,77.655354,0.029406
Fatehpur Sikri Distributary,Gambhir,3385.0,26.928034,78.100701,0.016811
Kaithwara Canal,,,27.589275,77.084546,0.083762
Right Canal,Betwa,3464.0,25.514413,78.783562,0.003642
Etawah Branch,,,27.266062,78.678309,0.067478
Agra Canal,Yamuna,3264.0,28.54652,77.311419,0.002047
Hasanpur Distributary,Yamuna,3535.0,28.040811,77.463139,0.033192
Upper Ganga Canal,,,28.195899,77.968573,0.057857
Tond Minor,Morel,3402.0,26.382977,76.360961,0.01768
Morel Bandh West Canal,Morel,3402.0,26.451741,76.329762,0.001652
Morel Bandh East Canal,Morel,3402.0,26.448025,76.337175,0.004266
Maniyari Canal,,,22.390088,81.596318,0.539494
Ganga River,,,22.993397,88.450226,0.163143
Adi Ganga,,,22.446782,88.390677,0.303884
Farakka Feeder Canal,Gumani,2957.0,24.802591,87.923423,0.011994
Bāghduba Nadi,Gumani,2957.0,24.784698,87.797927,0.007603
Gumāni main canal,Gumani,2957.0,24.901193,87.62533,0.004613
Panchanangram Canal,,,22.529933,88.415601,0.235773
Hingla Main Canal,,,23.823896,87.203118,0.866809
Bakreswar  Kopai Main Canal,,,23.789489,87.491317,0.947543
Mayurakshi Bakreswar Main Canal,,,23.881193,87.520551,0.862329
Mayurakshi Dwarakeshwar Main,,,24.006476,87.549128,0.756477
Dwaraka Brahmani Main Canal,,,24.15814,87.706846,0.54149
Mayurakshi left bank canal,,,24.107849,87.310688,0.658007
Badi Nahar,Ganga,3935.0,25.379941,83.537358,0.009646
Jaunti Minor,Yamuna,3279.0,28.811655,76.880687,0.016495
Harewali Nahar Towards Auchandi (Auchandi Minor),Yamuna,3279.0,28.781685,76.971347,0.045673
Budhanpur Minor,,,28.776648,76.999911,0.062975
Harewali Minor,,,28.783742,77.037448,0.096942
Harewali Canal,,,28.816107,77.033061,0.114337
Auchandi Minor,,,28.834269,76.998857,0.102152
Sultanpur Minor,Yamuna,3281.0,28.694126,76.967112,0.009714
Madanpur Drain,Yamuna,3281.0,28.684553,77.000491,0.024191
Hindon Yamuna Canal,Yamuna,3264.0,28.589239,77.301059,0.017238
Nilothi Distributary,Yamuna,3263.0,28.653833,77.072078,0.004188
Mundka Minor,Yamuna,3281.0,28.659595,76.987523,0.002627
Dhansa Minor,,,28.543627,76.926571,0.124622
Doun canal,Burhi Gandak,5141.0,27.195023,84.282911,0.005805
JLN Water,Chalak,3247.0,28.086015,76.10867,0.015242
Nahar Bhandara,,,22.692699,75.850999,0.125778
Chachi Distributary,Tons,4072.0,24.758103,81.303744,0.016066
Obra Canal,Punpun,4557.0,24.907432,84.403762,0.010383
Haldhar Canal,Morhar,4558.0,24.961836,84.85969,0.013892
north koel canal,Son,4411.0,24.520283,83.999233,0.048927
Circular Canal,,,22.601236,88.378457,0.247308
Dakpathar Canal,Tons,3285.0,30.435257,77.666693,0.000993
Poorvi Yamuna Nahar,,,28.870801,77.320941,0.060884
Mahananda Main Canal,Mahananda,4843.0,26.497744,88.318228,0.001495
Bagjola Canal,Padma,2912.0,22.545314,88.678814,0.005331
Krishnapur Canal,Padma,2912.0,22.541705,88.682266,0.005441
Lead Canal,,,22.525912,88.414337,0.23884
Gandak Nahar,Gandak,4431.0,27.442221,83.906823,0.001805
Parsāhi Distributary,Ghaghi,4422.0,26.502376,84.023979,0.014356
Turra Nala,Rapti,4428.0,26.687995,83.486517,0.026447
Lower Ganga Canal,Ganga,3875.0,28.140747,78.432371,0.011769
Kartar Pura Nala,,,26.906205,75.796915,0.135211
"Nagtalai Nala , Jaipur",,,26.941584,75.844264,0.092642
Naudhara,,,23.169908,79.940196,0.476703
Bargi right bank canal,,,23.082726,80.033031,0.602837
Bargi left bank canal,,,22.981775,79.887748,0.570146
