name,river_name,seg_id,latitude,longitude,dist_deg
Nanak sagar,,,28.959542,79.841239,
Arjun Sagar Reservoir,,,25.375142,79.680494,
Bela Sagar,,,25.257788,79.583762,
Rasin Dam Gate,,,25.172606,80.669312,
Rasin Dam,,,25.162778,80.670735,
Bandh Baretha Lake,,,26.873406,77.356758,
Pathrai Reservoir,,,25.41854,79.021124,
Sidhsagar Reservoir,,,25.307518,79.083017,
Saprar Reservoir,Kurai,4128.0,25.198278,79.083276,0.007659
Pariccha dam,Betwa,3464.0,25.515344,78.785126,0.004795
Bhasneh Reservoir,,,25.52892,79.130258,
Krishnakund,,,27.810373,77.340755,
Chandlai Lake,,,26.695308,75.878632,
Chhaparwara Dam,Mashi,3445.0,26.626973,75.264739,0.018889
Chandsen Dam,,,26.342395,75.451558,
kaliasot dam,Ajmar,4191.0,23.197375,77.408645,0.001311
Gaya ji rubber dam,Phalgu,4561.0,24.7809,85.012059,0.000858
Bhimlat Reservoir,,,25.301459,75.39047,
Jawahar Sagar Dam,Chambal,3618.0,25.037208,75.677735,0.000373
Kota Barrage,Chambal,3618.0,25.176843,75.825542,0.000708
chambal lake,Phalgu,4561.0,24.816654,85.027921,0.005786
Tilaiya Dam,,,24.324299,85.520973,
Tilaiya Dam Reservoir,,,24.335075,85.453539,
Jamunia Dam Cherra,,,24.005574,85.755372,
Konar Dam,,,23.944213,85.742672,
Tenughat Reservoir,,,23.728068,85.792024,
Rajrappa Reservoir,,,23.587051,85.679556,
Rukka Dam,,,23.452154,85.511327,
Muruguma Dam,,,23.313483,86.048403,
Chandil Dam Reservoir,,,23.030448,86.016193,
Chandil Dam,,,22.975057,86.023522,
Chakdaha Jhil,,,23.0748,88.526297,
Farakka Barrage,Gumani,2957.0,24.804449,87.932409,0.003008
Charubabur Jheel,,,22.501621,88.336982,
Neel Nirjone,,,23.836943,87.408435,
Massanjore Dam,,,24.106472,87.308025,
Hindustan Cables Township Dam,,,23.822033,86.901795,
Maithon Reservoir,,,23.840599,86.788591,
Maithan Dam,,,23.786514,86.815149,
Kendsaer,,,23.204243,86.8772,
Panchet Reservoir,,,23.669363,86.703527,
Panchet Dam,,,23.679449,86.75019,
Khandoli Dam,,,24.232693,86.345622,
Khandoli Dam,,,24.233583,86.343412,
Khandoli Dam,,,24.234129,86.342479,
Khandoli Dam,,,24.238898,86.349623,
Nithari Lake,,,28.707982,77.05397,
Latif Shah Dam,,,25.020968,83.242402,
Water Filter,,,25.309061,86.505239,
Dronagiri Apartments Underground water tanks,,,28.6573,77.365389,
