name,state,address,local_river,river_name,seg_id,dist_deg,latitude,longitude,half_m,dam_length_m,capacity_m3,capacity_mcm,reservoir_area_m2,effective_storage_m3,osm_name
Kharagpur Lake Dam,Bihar,"Mani River, Munger, Bihar",Mani,,,,25.1358,86.525,26.53,221.04,16510000.0,16.51,3840000,16280000.0,
Nagi Dam,Bihar,"Nagi. River, Munger, Bihar",Nagi,,,,24.8208,86.3997,24.02,1884.0,10800000.0,10.8,4250000,9300000.0,
Kohira Dam,Bihar,"Kohira. River, Bhabua, Bihar",Kohira,,,,24.9808,83.4908,24.06,236.91,28330000.0,28.33,5260000,27440000.0,
Amrity Dam,Bihar,"Amrity. River, Jamui, Bihar",Amrity,,,,24.8892,86.1022,16.65,166.15,4920000.0,4.92,166000,4348000.0,
Badua Dam,Bihar,"Badua. River, Bhagalpur, Bihar",Badua,,,,24.8878,86.6458,56.66,457.32,128340000.0,128.34,11335000,109830000.0,
Srikhandi Dam,Bihar,"Srikhandi. River, Jamui, Bihar",Srikhandi,,,,24.8925,86.09,16.65,205.8,4920000.0,4.92,166000,4348000.0,
Kolmahadeo Dam,Bihar,"Kolmahadeo. River, Nawada, Bihar",Kolmahadeo,,,,24.7111,85.6617,25.2,152.0,5700000.0,5.7,570000,4700000.0,
Chandan Dam,Bihar,"Chandan. River, Bounsi, Bihar",Chandan,Chandan,2977.0,0.003371,24.6756,86.9225,49.38,1555.0,157230000.0,157.23,10810000,135740000.0,
Jalkund Dam,Bihar,"Jalkund. River, Munger, Bihar",Jalkund,,,,25.235,86.5358,15.99,631.1,3085000.0,3.085,690300,2776500.0,
Morway Dam,Bihar,"Morway. River, Munger, Bihar",Morway,,,,25.1325,86.2192,33.42,533.53,14570000.0,14.57,16200000,12370000.0,
Satgharwa (N.F) Dam,Bihar,"Satgharwa River, Munger, Bihar",Satgharwa,Lilajan,4556.0,0.00065,24.7281,85.0131,19.21,266.72,1830000.0,1.83,360000,1695000.0,
Job Dam,Bihar,"Job. River, Nawada, Bihar",Job,,,,24.68,85.5656,36.6,1616.0,12000000.0,12.0,2130000,11000000.0,
Kailash Ghati Dam,Bihar,"Kailash Ghati. River, Jamui, Bihar",Kailash Ghati,,,,24.8933,85.9256,31.5,183.0,3571000.0,3.571,1020000,3152000.0,
Nakti Dam,Bihar,"Nakti. River, Munger, Bihar",Nakti,,,,24.8531,86.4433,24.99,990.85,13970000.0,13.97,3640000,12870000.0,
Taracol (N.F) Dam,Bihar,"Tarakol River, Jamui, Bihar",Tarakol,,,,24.8361,85.9956,23.155,106.67,1049100.0,1.049,1092000,979000.0,
Baskund Dam,Bihar,"Baskund. River, Jamui, Bihar",Baskund,,,,25.0683,86.2167,17.68,67.07,1230000.0,1.23,600000,928000.0,
Upper Badua (N.F) Dam,Bihar,"Badua. River, Banka, Bihar",Badua,,,,24.8872,86.6458,16.92,1745.0,4520000.0,4.52,1063000,4260000.0,
Belharna Dam,Bihar,"Belharna. River, Bhagalpur, Bihar",Belharna,,,,24.8528,86.5608,30.1,411.58,15560000.0,15.56,2680000,14570000.0,
