river_name,confluences_into,confluence_lat,confluence_lon,outlet_seg_id,place_name
Ganga,Bay of Bengal,24.7429,87.9362,2959,Farakka
Alaknanda,Bhagirathi,30.1446,78.5988,4212,Devprayag
Bhagirathi,Ganga,30.1446,78.5988,4203,Devprayag
Mandakini,Alaknanda,30.2879,78.9796,4211,Rudraprayag
Burhi Gandak,Ganga,25.3221,86.3712,4901,Supaul
Gandak,Ganga,25.6271,85.1846,4577,Hajipur
Ghaghara,Ganga,25.7438,84.6638,4401,Chhapra
Gomti,Ganga,25.4946,83.5179,3932,Ghazipur
Ramganga,Ganga,27.1512,79.9071,3864,Kannauj
Rapti,Ghaghara,26.6029,83.0237,4456,Barhaj
Sarju,Ghaghara,26.8104,82.1738,4812,Ayodhya
Bagmati,Ganga,26.0404,85.8829,4880,Rosera
Kamala,Kosi,26.1158,86.7654,4934,Supaul
Kosi,Ganga,25.4412,87.2204,3872,Kursela
Mahananda,Ganga,24.9563,88.2304,5081,Malda
Mechi,Mahananda,26.4121,88.1779,4846,Siliguri
Betwa,Yamuna,25.9213,80.2313,4121,Hamirpur
Chambal,Yamuna,26.0483,79.2258,3336,Etawah
Ken,Yamuna,25.6542,80.4875,4281,Banda
Son,Ganga,25.6575,84.4425,4341,Koilwar
Tons,Yamuna,30.5079,77.8196,4067,Kalsi
Yamuna,Ganga,25.4204,81.8879,4254,Prayagraj
Hindon,Yamuna,28.5154,77.6317,3559,Ghaziabad
Kali Sindh,Chambal,25.1246,76.1971,3627,Anta
Karmanasa,Ganga,25.3971,83.7854,3962,Chandauli
North Koel,Son,24.0771,84.1321,4565,Medininagar
Punpun,Ganga,25.4912,85.1929,5170,Masaurhi
Sharda,Ghaghara,28.0875,80.7533,4777,Lakhimpur
Sindh,Yamuna,26.4187,79.1571,3390,Mainpuri
Gaula,Ramganga,29.0317,78.9392,3861,Kalagarh
Gerua,Gandak,26.4908,84.3058,5111,Gopalganj
Rihand,Son,24.2329,82.6592,4340,Singrauli
Rohini,Rapti,26.8354,83.3221,4448,Gorakhpur
