river_name,segments,Updated_Tier
Ganga,108,1
Padma,42,1
Hooghly,1,1
Alaknanda,6,3
Gahra,2,5
Garkhe,1,5
Hiyuni,1,5
Harohar,8,3
Nandakini,1,3
Yamuna,53,1
Ghaghara,42,1
Kosi,33,2
Son,33,2
Banas,29,3
Betwa,29,2
Chambal,28,2
Gomti,28,2
Parbati,24,3
Gandak,23,2
Khari,23,3
Burhi Gandak,20,2
Sai,20,3
Tons,20,2
Ramganga,18,2
Kali,17,3
Rapti,17,2
Sindh,17,3
Berach,15,4
Dhasan,15,3
Ken,15,2
Mashi,15,4
Banganga,14,4
Tamasa,14,3
Bagmati,13,2
Bearma,12,3
Kamala,12,3
Rihand,12,3
Sharda,12,2
Gambhir,11,4
Kali Sindh,11,3
Karmanasa,11,3
Mendha,11,3
Mohana,10,4
Sengur,10,4
Belan,9,3
Gopat,9,4
Jamni,9,4
Koel,9,3
Mahananda,9,2
Sonar,9,3
Karwan,8,4
Non,8,4
Punpun,8,3
Kanhar,7,3
Rohini,7,3
Shyam,7,4
Ahu,6,4
Hindon,6,3
Kunwari,6,4
Morel,6,4
Phalgu,6,3
Sarju,6,3
Satna,6,4
Vaisali,6,4
Baur,5,4
Deoha,5,4
Garra,5,4
Ichamati,5,4
Jadh Ganga,5,4
Kankai,5,4
Kareli,5,4
Khul,5,4
Mahakali,5,2
Newaj,5,4
Pahuj,5,4
Panchane,5,4
Retam,5,4
Sanwan,5,4
Andheri,4,4
Barah,4,4
Bhagirathi,4,3
Bina,4,4
Chhoti Kali Sindh,4,4
Dai,4,4
Danau,4,4
Gaula,4,4
Ghora Pachhar,4,4
Gunjali,4,4
Katni,4,4
Kiul,4,3
Kuno,4,4
Mahuar,4,4
Manorama,4,4
Mej,4,4
Punarbhaba,4,4
Shipra,4,4
Sota,4,4
Sotwa,4,4
Varuna,4,4
Amanat,3,4
Babai,3,4
Baghain,3,4
Balan,3,5
Banne,3,5
Bewas,3,5
Dharmauti,3,5
Dhauli Ganga,3,4
Dhund,3,5
Gangan,3,4
Iwa,3,5
Jamuni,3,5
Jamwar,3,5
Kadhu,3,5
Kathan,3,5
Keshaliya,3,5
Khaimua,3,5
Lakheri,3,5
Madad,3,5
Mahana,3,5
Maleni,3,5
Mandakini,3,3
Manoli,3,5
Mechi,3,4
Nagri,3,5
Paimar,3,5
Paisuni,3,4
Shyamri,3,5
Sohadra,3,5
Solani,3,4
Sunder,3,5
Surna,3,5
Urvashi,3,5
Aami,2,5
Asan,2,4
Auranga,2,4
Balasan,2,4
Bhada,2,5
Bhillangana,2,4
Chandan,2,4
Chandloi,2,5
Chhapi,2,4
Dardha,2,4
Darma Yankti,2,4
East Bahgul,2,5
Gambhiri,2,4
Ghaghi,2,5
Giri,2,4
Gumani,2,4
Idar,2,5
Johilla,2,5
Kothari,2,4
Kurai,2,4
Lakundar,2,4
Lilajan,2,4
Mathabanga,2,5
Mayar,2,5
Morhar,2,4
Nagar,2,5
Naina,2,4
Narain,2,5
Panar,2,5
Parman,2,5
Parvan,2,4
Pindar,2,3
Sasur Khaderi,2,5
Sau,2,5
Song,2,4
Sudhani,2,5
Suheli,2,4
Tangan,2,4
Thalera,2,5
Adari,1,5
Aerma,1,5
Afsarha,1,5
Aglad,1,5
Ahar,1,5
Aheli,1,5
Ajmar,1,5
Ajnal,1,5
Alnia,1,5
Amjar,1,5
Ansar,1,5
Ashamati,1,5
Ashmi,1,5
Asrawal,1,5
Baen,1,5
Bagad,1,5
Bahalla,1,5
Bahmnai,1,5
Bajyan,1,5
Bakalya,1,5
Bakra,1,5
Bal Ganga,1,4
Baleti,1,5
Bamni,1,5
Bamnidai,1,5
Banki,1,5
Bansi,1,5
Barhki,1,5
Barnar,1,5
Bata,1,5
Batane,1,5
Baveri,1,5
Baya,1,5
Bhairab,1,5
Bhakra,1,5
Bhandar,1,5
Bilas,1,5
Bilrai,1,5
Bino,1,5
Birahi Ganga,1,4
Burha,1,5
Chakan,1,5
Chalak,1,5
Chalki,1,5
Chamla,1,5
Champa,1,5
Chandrabhaga,1,5
Chauli,1,5
Chaupat,1,5
Chilkara,1,5
Chopani,1,5
Dabka,1,5
Dahuk,1,5
Dande,1,5
Danru,1,5
Dehar,1,5
Dhanauti,1,5
Dhela,1,5
Dhil,1,5
Dudhaliya,1,5
Dudhi,1,5
Gadela,1,5
Gagas,1,5
Galwa,1,5
Garara,1,5
Garhi,1,5
Garni,1,5
Ghar Ganga,1,4
Ghodchhatra,1,5
Ghurari,1,5
Girthi Ganga,1,4
Gohirari,1,5
Goini,1,4
Goriganga,1,3
Gorma,1,5
Gudne,1,5
Halali,1,5
Harna,1,5
Indar,1,5
Jadhang,1,5
Jalkur,1,4
Jam,1,5
Jashma,1,5
Jaulaha,1,5
Jhilmil,1,5
Jhim,1,5
Jinjoi,1,5
Kadmali,1,5
Kadwal,1,5
Kail Ganga,1,4
Kakund,1,5
Kali Rau,1,5
Kalindi,1,5
Kalindri,1,5
Kanh,1,5
Kanthali,1,5
Karai,1,5
Karisil,1,5
Katna,1,5
Kendar,1,5
Kethan,1,5
Kevai,1,5
Kevtan,1,5
Khan,1,5
Khoh,1,4
Khoki,1,5
Khudar,1,5
Kopra,1,5
Kuliki,1,5
Kunda,1,5
Kunu,1,5
Kural,1,5
Kuthi Yankti,1,4
Kutni,1,5
Ladhiya,1,5
Lakhandei,1,5
Lapri,1,5
Lassar Yankti,1,4
Lastar,1,5
Lohra,1,5
Londri,1,5
Machhli,1,5
Madhmaheshwar Ganga,1,4
Mahara,1,5
Maila,1,5
Malin,1,5
Man,1,5
Mana,1,5
Mandal,1,5
Manki,1,5
Manmaheshwari,1,5
Mansi,1,5
Marai,1,5
Mawai,1,5
Menali,1,5
Mirhasan,1,5
Nakti,1,5
Nandhaur,1,5
Naren,1,5
Nayar,1,4
Nekhadi,1,5
Neur,1,5
Orai,1,5
Pabbar,1,4
Palain,1,5
Panda,1,5
Pandu,1,5
Papras,1,5
Paru,1,5
Parwar,1,5
Pashchimi Nayar,1,4
Patne,1,5
Pingla,1,5
Purvi Nayar,1,4
Rato,1,5
Ratua,1,5
Retili,1,5
Rishi Ganga,1,4
Rupin,1,4
Sagar,1,5
Sainj,1,5
Sajnam,1,5
Sakri,1,5
Sameliya,1,5
Sank,1,5
Sanr,1,5
Sarai,1,5
Saswa,1,5
Sesar,1,5
Shallu,1,5
Singhyahi,1,5
Sokar,1,5
Somli,1,5
Sorhur,1,5
Sui,1,5
Sukni,1,5
Sukri,1,5
Supin,1,4
Surai,1,5
Tahle,1,5
Tangon,1,5
Tila,1,5
Tilayia,1,5
Tipan,1,5
Tribani,1,5
Ujar,1,5
Ulai,1,5
Unli,1,5
Upreni,1,5
Urmal,1,5
Usra,1,5
